#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MENU_BAR_GAME_CONVERT;Játék exportálása;Exporter une partie;Játék exportálása;;Exportar Partida;;;;;;;;;x
MENU_BAR_GAME_CONVERT_DEL;Játék exportálása EU4-be;Exporter une partie vers EU4;Játék exportálása EU4-be;;Exportar partuda a EU4;;;;;;;;;x
BARBER_TOOLTIP;Borbélyhoz menni;Aller chez le barbier;Borbélyhoz menni;;Ir al Peluquero;;;;;;;;;x
RENAME_TITLE_TOOLTIP;Titulus átnevezése;Renommer titre;Titulus átnevezése;;Renombrar Título;;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP;Ház testreszabása;Personnaliser dynastie;Ház testreszabása;;Personaliza tu Dinastía;;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP_DISABLED;Nem szabhatod testre a családod, csak ha te vagy a családfõ.;Vous ne pouvez pas personnaliser cette dynastie car vous devez être le plus haut suzerain de tous ses membres.;Nem szabhatod testre a családod, csak ha te vagy a családfõ.;;No puedes personalizar esta dinastía porque tienes que ser el Señor de todos sus miembros.;;;;;;;;;x
c_lappland_adj_lappish;Számi;Sami;Számi;;Sápmi;;;;;;;;;x
RENAME;Átnevez;Renommer;Átnevez;;Renombrar;;;;;;;;;x
NAME;Név;Nom;Név;;Nombre;;;;;;;;;x
ADJECTIVE;Melléknév;Gentilé;Melléknév;;Adjetivo;;;;;;;;;x
POSSIBLE_PLOT_POWER;Cselszövés lehetséges ereje;Puissance de complot possible;Cselszövés lehetséges ereje;;Potencial posible del complot;;;;;;;;;x
AUTO_INVITE_PLOTTERS;Cselszövõk auto meghívása;Invitation automatique des comploteurs;Cselszövõk auto meghívása;;Autoinvitar conspiradores;;;;;;;;;x
AUTO_STOP_PLOTS;Cselszövés auto leállítása;Arrêt automatique des complots;Cselszövés auto leállítása;;Autodetener complots;;;;;;;;;x
AUTO_STOPPED_PLOT_SETUP;Cselszövés feltárva;Complot découvert;Cselszövés feltárva;;Complot descubierto;;;;;;;;x;
AUTO_STOPPED_PLOT_LOG;§Y$PLOTTER$§!$PLOTTERJOB$ arra törekszik, hogy §Y$PLOTNAME$§!.;§Y$PLOTTER$§!$PLOTTERJOB$ cherche §Y$PLOTNAME$§!.;§Y$PLOTTER$§!$PLOTTERJOB$ arra törekszik, hogy §Y$PLOTNAME$§!.;;§Y$PLOTTER$§!$PLOTTERJOB$ pretende §Y$PLOTNAME$§!.;;;;;;;;x;
AUTO_STOPPED_PLOT_LETTER;Felfedeztem egy cselszövést, ahol $PLOTTER$ arra törekszik, hogy  $PLOTNAME$. Elküldtem egy futárt hozzá, hogy fejezze be.\n\nAlázatos hírszerzõd,\n$SPYMASTER$;J'ai découvert un complot par lequel $PLOTTER$ cherche à $PLOTNAME$. J'ai dépêché un émissaire pour lui demander de cesser ces agissements sur l'instant. \n\nVotre humble maître-espion,\n$SPYMASTER$;Felfedeztem egy cselszövést, ahol $PLOTTER$ arra törekszik, hogy  $PLOTNAME$. Elküldtem egy futárt hozzá, hogy fejezze be.\n\nAlázatos hírszerzõd,\n$SPYMASTER$;;He descubierto un complot en el que $PLOTTER$ pretende $PLOTNAME$. Le he enviado un emisario para que desista de ello. \n\nTu humilde jefe de espías,\n$SPYMASTER$;;;;;;;;;x
AUTO_STOP_PLOT_START_SETUP;A hírszerzõ futárokat küld;Le maître-espion envoie des messagers;A hírszerzõ futárokat küld;;El jefe de espías envía emisarios;;;;;;;;;x
AUTO_STOP_PLOT_START_LOG;$SPYMASTER$ futárokat küldött ki, hogy a cselszövõk felhagyjanak tervükkel;$SPYMASTER$ envoie des émissaires pour faire cesser les complots;$SPYMASTER$ futárokat küldött ki, hogy a cselszövõk felhagyjanak tervükkel;;$SPYMASTER$ envia emisarios para hacer desistir a los conspiradores;;;;;;;;;x
AUTO_STOP_PLOT_START_LETTER;Futárokat küldtem minden ismert cselszövõnek, hogy hagjynak fel a cselszövéssel.\n\nAlázatos hírszerzõd,\n$SPYMASTER$;J'ai envoyé des émissaires auprès de tous les membres connus du complot afin qu'ils cessent cela immédiatement.\n\nVotre humble maître-espion,\n$SPYMASTER$;Futárokat küldtem minden ismert cselszövõnek, hogy hagjynak fel a cselszövéssel.\n\nAlázatos hírszerzõd,\n$SPYMASTER$;;He enviado emisarios a todos los conspiradores conocidos para que desistan de inmediato.\n\nTu humilde jefe de espías,\n$SPYMASTER$;;;;;;;;;x
siege_leader;Ostrom vezetõje;Spécialiste des sièges;Ostrom vezetõje;;Líder del Asedio;;;;;;;;;x
siege_leader_desc;Ez a karakter képzett az ostromokat illetõen.;Ce personnage est particulièrement doué pour mener à bien les sièges;Ez a karakter képzett az ostromokat illetõen.;;Este personaje está especializado en liderar asedios;;;;;;;;;x
SIEGE;Ostrom;Siège;Ostrom;;Asedio;;;;;;;;;x
ADD_IP;IP megadása;Ajouter IP;IP megadása;;Añadir IP;;;;;;;;;x
REMOVE_IP;IP eltávolítása;Retirer IP;IP eltávolítása;;Borrar IP;;;;;;;;;x
PENDING_PLOT_REQUEST;Várakozás válaszra.;Attend une réponse.;Várakozás válaszra.;;Esperando respuesta.;;;;;;;;;x
ACCEPTED_PLOT_REQUEST;Cselszövést támogat.;Soutient un complot.;Cselszövést támogat.;;Apoyando un complot.;;;;;;;;;x
LOADING_TIP_52;Egy kiválasztást tudsz a flottákra végrehajtani az ALT gomb lenyomásával.;Vous pouvez ne sélectionner que vos flottes en utilisant la touche ALT.;Egy kiválasztást tudsz a flottákra végrehajtani az ALT gomb lenyomásával.;;Puedes hacer que la tropa seleccionada se embarque usando simplemente la tecla ALT;;;;;;;;;x
EXIT;Kilépés;Sortie;Kilépés;;Salir;;;;;;;;;x
CUT;Vág!;Coupez !;Vág!;;¡Cortar!;;;;;;;;;x
CONFIRMEXPORTTITLE;Exportáld egy CK2 játékod az EU4-be;Exporter la partie CK2 vers EU4;Exportáld egy CK2 játékod az EU4-be;;Exportar partida a EU4;;;;;;;;;x
